"","ACCIDENT_NO","X","Y","OBJECTID","ACCIDENT_D","ACC_TIME","NO_VEHICLE","ACCIDENT_T","ACC_T_DESC","ABS_CODE","PERSON_ID","AGE","RD_USER_T","RD_U_DESC","SEX","LOCATION_D","NODE_ID.x","LOCATION_T","NODE_TYPE.x","N_TYPE_DES","ROAD_ROUTE","RD_NAME_1","RD_TYPE_1","RD_NAME_2","RD_TYPE_2","DEC_RD_DES","LGA_NAME.x","REGION_NAM","STAT_DIV_N","AMG_X","AMG_Y","NODE_ID.y","NODE_TYPE.y","VICGRID94_X","VICGRID94_Y","LGA_NAME.y","LGA_NAME_ALL","REGION_NAME","DEG_URBAN_NAME","Lat","Long","POSTCODE_NO"
"49","T20190003540",2531736.054,2393273.07,930,"2019/02/23 00:00:00+00","15.:2.00",3,1,"Collision with vehicle","A","A",89,2,"Drivers","F","At Int of WELLINGTON ROAD and BERWICK ROAD",42680,"I","I","Intersection",5798,"WELLINGTON","ROAD","BERWICK","ROAD","Declared Road","YARRA RANGES","METROPOLITAN SOUTH EAST REGION","Melbourne - Outer East",2531736.054,2393273.07,42680,"I",2531736.054,2393273.07,"YARRA RANGES","YARRA RANGES","METROPOLITAN SOUTH EAST REGION","RURAL_VICTORIA",-37.96117797,145.3611396,3804
"50","T20190003541",2511727.274,2393442.569,931,"2019/02/23 00:00:00+00","16.:3.00",2,1,"Collision with vehicle","A","A",24,4,"Motorcyclists","M","At Int of HEATHERTON ROAD and CORIO DRIVE",42450,"I","I","Intersection",5970,"HEATHERTON","ROAD","CORIO","DRIVE","Declared Road","DANDENONG","METROPOLITAN SOUTH EAST REGION","Melbourne - South East",2511727.274,2393442.569,42450,"I",2511727.274,2393442.569,"DANDENONG","DANDENONG,KINGSTON","METROPOLITAN SOUTH EAST REGION","MELB_URBAN",-37.96011915,145.1334481,3172
"51","T20190003541",2511727.274,2393442.569,931,"2019/02/23 00:00:00+00","16.:3.00",2,1,"Collision with vehicle","A","A",24,4,"Motorcyclists","M","At Int of HEATHERTON ROAD and CORIO DRIVE",42450,"I","I","Intersection",5970,"HEATHERTON","ROAD","CORIO","DRIVE","Declared Road","DANDENONG","METROPOLITAN SOUTH EAST REGION","Melbourne - South East",2511727.274,2393442.569,42450,"I",2511727.274,2393442.569,"DANDENONG","DANDENONG,KINGSTON","METROPOLITAN SOUTH EAST REGION","MELB_URBAN",-37.96011915,145.1334481,3169
"52","T20190003547",2201676.177,2345542.696,932,"2019/02/23 00:00:00+00","17.:2.00",2,1,"Collision with vehicle","A","B",18,6,"Bicyclists","M","At Int of HENTY HIGHWAY and WYATT STREET",29963,"I","I","Intersection",2620,"HENTY","HIGHWAY","WYATT","STREET","Declared Road","GLENELG","SOUTH WESTERN REGION","Country",2201676.177,2345542.696,29963,"I",2201676.177,2345542.696,"GLENELG","GLENELG","SOUTH WESTERN REGION","TOWNS",-38.34352727,141.5871983,3305
"53","T20190003620",2470545.762,2405364.553,933,"2019/02/24 00:00:00+00","20.:4.00",2,1,"Collision with vehicle","A","B",26,4,"Motorcyclists","M","At Int of BETHANY ROAD and CLAIRE WAY",342688,"I","I","Intersection",9999,"BETHANY","ROAD","CLAIRE","WAY","Non Declared Road","WYNDHAM","METROPOLITAN NORTH WEST REGION","Melbourne - West",2470545.762,2405364.553,342688,"I",2470545.762,2405364.553,"WYNDHAM","WYNDHAM","METROPOLITAN NORTH WEST REGION","MELB_URBAN",-37.85231342,144.6653097,3029
"54","T20190003641",2501508.111,2404826.132,934,"2019/02/25 00:00:00+00","06.:0.00",1,2,"Struck Pedestrian","A","1",86,1,"Pedestrians","M","On SUTHERLAND ROAD 56m S from Int AVONDALE ROAD",342627,"N","N","Non Intersection",9999,"SUTHERLAND","ROAD","AVONDALE","ROAD","Non Declared Road","STONNINGTON","METROPOLITAN SOUTH EAST REGION","Melbourne - Inner",2501508.111,2404826.132,342627,"N",2501508.111,2404826.132,"STONNINGTON","STONNINGTON","METROPOLITAN SOUTH EAST REGION","MELB_URBAN",-37.8576298,145.0171379,3143
"55","T20190003695",2520764.205,2364151.366,935,"2019/02/25 00:00:00+00","16.:3.00",4,1,"Collision with vehicle","A","B",61,4,"Motorcyclists","M","On TYABB-TOORADIN ROAD 300m N from Int BEMBRIDGE ROAD",342593,"N","N","Non Intersection",9999,"TYABB-TOORADIN","ROAD","BEMBRIDGE","ROAD","Non Declared Road","MORNINGTON PENINSULA","METROPOLITAN SOUTH EAST REGION","Metro",2520764.205,2364151.366,342593,"N",2520764.205,2364151.366,"MORNINGTON PENINSULA","MORNINGTON PENINSULA","METROPOLITAN SOUTH EAST REGION","RURAL_VICTORIA",-38.22384121,145.2371118,3912
"56","T20190003737",2442314.859,2375842.866,936,"2019/02/26 00:00:00+00","11.:5.00",1,2,"Struck Pedestrian","A","1",81,1,"Pedestrians","M","At Int of THOMPSON ROAD and GALWAY AVENUE",49799,"I","I","Intersection",5580,"THOMPSON","ROAD","GALWAY","AVENUE","Declared Road","GEELONG","SOUTH WESTERN REGION","Country",2442314.859,2375842.866,49799,"I",2442314.859,2375842.866,"GEELONG","GEELONG","SOUTH WESTERN REGION","LARGE_PROVINCIAL_CITIES",-38.11695569,144.3422102,3214
"57","T20190003894",2457406.743,2465268.259,937,"2019/02/28 00:00:00+00","09.:0.00",1,4,"Collision with a fixed object","A","A",60,7,"Drivers","M","On COBB AND CO ROAD 521m S from Int JAMES ROAD",343907,"N","N","Non Intersection",9999,"COBB AND CO","ROAD","JAMES","ROAD","Non Declared Road","MACEDON RANGES","NORTHERN REGION","Bendigo",2457406.743,2465268.259,343907,"N",2457406.743,2465268.259,"MACEDON RANGES","MACEDON RANGES","NORTHERN REGION","RURAL_VICTORIA",-37.31203051,144.5194484,3442
"58","T20190003898",2522742.873,2410116.226,938,"2019/02/28 00:00:00+00","08.:2.00",1,2,"Struck Pedestrian","A","1",81,1,"Pedestrians","F","At Int of MORINDA STREET and RAILWAY AVENUE",343096,"I","I","Intersection",9999,"MORINDA","STREET","RAILWAY","AVENUE","Non Declared Road","MAROONDAH","METROPOLITAN SOUTH EAST REGION","Melbourne - Outer East",2522742.873,2410116.226,343096,"I",2522742.873,2410116.226,"MAROONDAH","MAROONDAH","METROPOLITAN SOUTH EAST REGION","MELB_URBAN",-37.80968948,145.2582826,3135
"59","T20190003944",2492607.256,2421612.895,939,"2019/03/01 00:00:00+00","00.:5.00",1,2,"Struck Pedestrian","A","1",24,1,"Pedestrians","F","On PASCOE VALE ROAD 8m S from Int GLENROY ROAD",346182,"N","N","Non Intersection",5819,"PASCOE VALE","ROAD","GLENROY","ROAD","Declared Road","MORELAND","METROPOLITAN NORTH WEST REGION","Melbourne - North West",2492607.256,2421612.895,346182,"N",2492607.213,2421613.134,"MORELAND","MORELAND","METROPOLITAN NORTH WEST REGION","MELB_URBAN",-37.70634813,144.9161576,3046
"60","T20190003953",2498012.726,2428214.042,940,"2019/03/01 00:00:00+00","01.:1.00",1,6,"Vehicle overturned (no collision)","A","A",15,2,"Drivers","F","On COOPER STREET(R) 37m E from Int COMPANION PLACE",342772,"N","N","Non Intersection",5606,"COOPER","STREET","COMPANION","PLACE","Declared Road","WHITTLESEA","METROPOLITAN NORTH WEST REGION","Melbourne - North East",2498012.726,2428214.042,342772,"N",2498012.726,2428214.042,"WHITTLESEA","WHITTLESEA","METROPOLITAN NORTH WEST REGION","RURAL_VICTORIA",-37.64689764,144.9774798,3076
"61","T20190004594",2510222.393,2396789.249,941,"2019/03/10 00:00:00+00","05.:5.00",2,1,"Collision with vehicle","A","A",53,2,"Drivers","M","At Int of FRANK AVENUE and LINDA STREET",343097,"I","I","Intersection",9999,"FRANK","AVENUE","LINDA","STREET","Non Declared Road","KINGSTON","METROPOLITAN SOUTH EAST REGION","Melbourne - South East",2510222.393,2396789.249,343097,"I",2510222.393,2396789.249,"KINGSTON","KINGSTON","METROPOLITAN SOUTH EAST REGION","MELB_URBAN",-37.92998495,145.1162771,3169
"62","T20190004622",2497021.802,2424740.946,942,"2019/03/10 00:00:00+00","18.:0.00",1,7,"Fall from or in moving vehicle","A","1",20,3,"Passengers","M","On CAMBRIDGE WAY 35m S from Int CARLISLE COURT",343217,"N","N","Non Intersection",9999,"CAMBRIDGE","WAY","CARLISLE","COURT","Non Declared Road","HUME","METROPOLITAN NORTH WEST REGION","Melbourne - North West",2497021.802,2424740.946,343217,"N",2497021.802,2424740.946,"HUME","HUME","METROPOLITAN NORTH WEST REGION","MELB_URBAN",-37.67818961,144.9662365,3061
"63","T20190004707",2326939.225,2556938.783,943,"2019/03/11 00:00:00+00","16.:3.00",2,1,"Collision with vehicle","A","B",65,2,"Drivers","M","On SUNRAYSIA HIGHWAY 146m N from Int COPE COPE ROAD",345477,"N","N","Non Intersection",2700,"SUNRAYSIA","HIGHWAY","COPE COPE","ROAD","Declared Road","NORTHERN GRAMPIANS","WESTERN REGION","Country",2326939.225,2556938.783,345477,"N",2326939.232,2556939.033,"NORTHERN GRAMPIANS","NORTHERN GRAMPIANS","WESTERN REGION","RURAL_VICTORIA",-36.47101785,143.0687028,3480
"64","T20190004747",2182743.702,2525532.19,944,"2019/03/12 00:00:00+00","18.:3.00",1,5,"Collision with some other object","A","A",42,4,"Motorcyclists","M","On NATIMUK-FRANCES ROAD 500m E from Int SONEGOS ROAD",343168,"N","N","Non Intersection",5138,"NATIMUK-FRANCES","ROAD","SONEGOS","ROAD","Declared Road","WEST WIMMERA","WESTERN REGION","Country",2182743.702,2525532.19,343168,"N",2182743.702,2525532.19,"WEST WIMMERA","WEST WIMMERA","WESTERN REGION","RURAL_VICTORIA",-36.71654218,141.4476091,3412
"65","T20190004969",2533716.108,2403077.845,945,"2019/03/15 00:00:00+00","15.:5.00",2,1,"Collision with vehicle","A","A",63,4,"Motorcyclists","M","On OLINDA-MONBULK ROAD 13m NE from Int UPPER COONARA ROAD",345415,"N","N","Non Intersection",5779,"OLINDA-MONBULK","ROAD","UPPER COONARA","ROAD","Declared Road","YARRA RANGES","METROPOLITAN SOUTH EAST REGION","Melbourne - Outer East",2533716.108,2403077.845,345415,"N",2533715.971,2403077.673,"YARRA RANGES","YARRA RANGES","METROPOLITAN SOUTH EAST REGION","RURAL_VICTORIA",-37.87277296,145.3832207,3788
"66","T20190004969",2533716.108,2403077.845,945,"2019/03/15 00:00:00+00","15.:5.00",2,1,"Collision with vehicle","A","A",63,4,"Motorcyclists","M","On OLINDA-MONBULK ROAD 13m NE from Int UPPER COONARA ROAD",345415,"N","N","Non Intersection",5779,"OLINDA-MONBULK","ROAD","UPPER COONARA","ROAD","Declared Road","YARRA RANGES","METROPOLITAN SOUTH EAST REGION","Melbourne - Outer East",2533716.108,2403077.845,345415,"N",2533715.971,2403077.673,"YARRA RANGES","YARRA RANGES","METROPOLITAN SOUTH EAST REGION","MELB_URBAN",-37.87277296,145.3832207,3788
"67","T20190005050",2473640.013,2467701.316,947,"2019/03/16 00:00:00+00","17.:5.00",1,4,"Collision with a fixed object","A","2",31,3,"Passengers","M","On ROCHFORD ROAD 252m NE from Int WHITEBRIDGE ROAD",345647,"N","N","Non Intersection",5158,"ROCHFORD","ROAD","WHITEBRIDGE","ROAD","Declared Road","MACEDON RANGES","NORTHERN REGION","Country",2473640.013,2467701.316,345647,"N",2473639.603,2467701.081,"MACEDON RANGES","MACEDON RANGES","NORTHERN REGION","RURAL_VICTORIA",-37.29070469,144.7026772,3435
"68","T20190005050",2473640.013,2467701.316,946,"2019/03/16 00:00:00+00","17.:5.00",1,4,"Collision with a fixed object","A","1",36,3,"Passengers","M","On ROCHFORD ROAD 252m NE from Int WHITEBRIDGE ROAD",345647,"N","N","Non Intersection",5158,"ROCHFORD","ROAD","WHITEBRIDGE","ROAD","Declared Road","MACEDON RANGES","NORTHERN REGION","Country",2473640.013,2467701.316,345647,"N",2473639.603,2467701.081,"MACEDON RANGES","MACEDON RANGES","NORTHERN REGION","RURAL_VICTORIA",-37.29070469,144.7026772,3435
"69","T20190005079",2386521.47,2487636.005,948,"2019/03/17 00:00:00+00","10.:4.00",2,1,"Collision with vehicle","A","A",78,2,"Drivers","M","At Int of BALLARAT-MARYBOROUGH ROAD and ELMA COURT",343336,"I","I","Intersection",5327,"BALLARAT-MARYBOROUGH","ROAD","ELMA","COURT","Declared Road","CENTRAL GOLDFIELDS","WESTERN REGION","Ballarat",2386521.47,2487636.005,343336,"I",2386521.47,2487636.005,"CENTRAL GOLDFIELDS","CENTRAL GOLDFIELDS","WESTERN REGION","RURAL_VICTORIA",-37.10456728,143.7231473,3465
"70","T20190005099",2420049.015,2399045.933,949,"2019/03/17 00:00:00+00","13.:1.00",2,1,"Collision with vehicle","A","A",68,2,"Drivers","F","On MIDLAND HIGHWAY 260m SE from Int TAYLOR ROAD",343337,"N","N","Non Intersection",2590,"MIDLAND","HIGHWAY","TAYLOR","ROAD","Declared Road","GOLDEN PLAINS","SOUTH WESTERN REGION","Country",2420049.015,2399045.933,343337,"N",2420049.015,2399045.933,"GOLDEN PLAINS","GOLDEN PLAINS","SOUTH WESTERN REGION","RURAL_VICTORIA",-37.90626974,144.0908504,3333
"71","T20190005143",2221634.12,2402154.366,950,"2019/03/18 00:00:00+00","03.:0.00",1,4,"Collision with a fixed object","A","A",53,2,"Drivers","M","On HENTY HIGHWAY 418m E from Int WALLACEDALE NORTH-HAMILTON ROAD",582691,"N","N","Non Intersection",2620,"HENTY","HIGHWAY","WALLACEDALE NORTH-HAMILTON","ROAD","Declared Road","SOUTHERN GRAMPIANS","SOUTH WESTERN REGION","Country",2221634.12,2402154.366,582691,"N",2221634.12,2402154.366,"SOUTHERN GRAMPIANS","SOUTHERN GRAMPIANS","SOUTH WESTERN REGION","RURAL_VICTORIA",-37.84003288,141.8368509,3302
"72","T20190005170",2417496.066,2633418.205,951,"2019/03/18 00:00:00+00","11.:3.00",1,4,"Collision with a fixed object","A","A",31,2,"Drivers","M","On MURRAY VALLEY HIGHWAY 195m W from Int LUSCOMBE ROAD",346389,"N","N","Non Intersection",2570,"MURRAY VALLEY","HIGHWAY","LUSCOMBE","ROAD","Declared Road","GANNAWARRA","NORTHERN REGION","Country",2417496.066,2633418.205,346389,"N",2417496.45,2633418.21,"GANNAWARRA","GANNAWARRA","NORTHERN REGION","RURAL_VICTORIA",-35.79401221,144.0873743,3579
"73","T20190005358",2522436.22,2411342.669,952,"2019/03/21 00:00:00+00","08.:1.00",2,1,"Collision with vehicle","A","2",90,3,"Passengers","F","At Int of CARCOOLA ROAD and OLD LILYDALE ROAD",57443,"I","I","Intersection",9999,"CARCOOLA","ROAD","OLD LILYDALE","ROAD","Non Declared Road","MAROONDAH","METROPOLITAN SOUTH EAST REGION","Melbourne - Outer East",2522436.22,2411342.669,57443,"I",2522436.22,2411342.669,"MAROONDAH","MAROONDAH","METROPOLITAN SOUTH EAST REGION","MELB_URBAN",-37.79864661,145.2547628,3135
"74","T20190005594",2397629.772,2398752.992,953,"2019/03/24 00:00:00+00","09.:0.00",1,4,"Collision with a fixed object","A","A",49,4,"Motorcyclists","M","On GUMLEY ROAD 3503m NE from Int ROKEWOOD-SHELFORD ROAD",343525,"N","N","Non Intersection",9999,"GUMLEY","ROAD","ROKEWOOD-SHELFORD","ROAD","Non Declared Road","GOLDEN PLAINS","SOUTH WESTERN REGION","Country",2397629.772,2398752.992,343525,"N",2397629.767,2398752.992,"GOLDEN PLAINS","GOLDEN PLAINS","SOUTH WESTERN REGION","RURAL_VICTORIA",-37.90670947,143.8358955,3330
"75","T20190005608",2397258.361,2461427.837,954,"2019/03/24 00:00:00+00","15.:0.00",2,1,"Collision with vehicle","A","B",59,6,"Bicyclists","M","On CRESWICK ROAD 1480m SE from Int MACRAE ROAD",343526,"N","N","Non Intersection",5222,"CRESWICK","ROAD","MACRAE","ROAD","Declared Road","HEPBURN","WESTERN REGION","Ballarat",2397258.361,2461427.837,343526,"N",2397258.361,2461427.837,"HEPBURN","HEPBURN","WESTERN REGION","RURAL_VICTORIA",-37.34196832,143.8403536,3370
"76","T20190005628",2496945.284,2418547.987,955,"2019/03/25 00:00:00+00","09.:2.00",1,2,"Struck Pedestrian","A","2",86,1,"Pedestrians","M","At Int of SYDNEY ROAD and GAFFNEY STREET",57391,"I","I","Intersection",5500,"SYDNEY","ROAD","GAFFNEY","STREET","Declared Road","MORELAND","METROPOLITAN NORTH WEST REGION","Melbourne - Inner",2496945.284,2418547.987,57391,"I",2496945.284,2418547.987,"MORELAND","MORELAND","METROPOLITAN NORTH WEST REGION","MELB_URBAN",-37.7339906,144.9653435,3058
"77","T20190005668",2451564.348,2419988.194,956,"2019/03/25 00:00:00+00","06.:3.00",2,1,"Collision with vehicle","A","B",55,2,"Drivers","M","On GEELONG-BACCHUS MARSH ROAD 72m S from Int SMITHS ROAD",343576,"N","N","Non Intersection",5060,"GEELONG-BACCHUS MARSH","ROAD","SMITHS","ROAD","Declared Road","MOORABOOL","WESTERN REGION","Ballarat",2451564.348,2419988.194,343576,"N",2451564.348,2419988.194,"MOORABOOL","MOORABOOL","WESTERN REGION","RURAL_VICTORIA",-37.71975949,144.4505856,3340
"78","T20190005839",2510151.785,2383277.748,957,"2019/03/28 00:00:00+00","05.:4.00",2,1,"Collision with vehicle","A","B",50,6,"Bicyclists","F","At Int of NEPEAN HIGHWAY and CHELSEA ROAD",893,"I","I","Intersection",2660,"NEPEAN","HIGHWAY","CHELSEA","ROAD","Declared Road","KINGSTON","METROPOLITAN SOUTH EAST REGION","Melbourne - Inner South",2510151.785,2383277.748,893,"I",2510151.785,2383277.748,"KINGSTON","KINGSTON","METROPOLITAN SOUTH EAST REGION","MELB_URBAN",-38.05171524,145.1156607,3196
"79","T20190005900",2532066.653,2623698.774,958,"2019/03/28 00:00:00+00","19.:5.00",1,4,"Collision with a fixed object","A","A",33,2,"Drivers","M","On SHARPS LANE 333m SE from Int HAYNES ROAD",343672,"N","N","Non Intersection",9999,"SHARPS","LANE","HAYNES","ROAD","Non Declared Road","MOIRA","NORTH EASTERN REGION","Country",2532066.653,2623698.774,343672,"N",2532066.653,2623698.774,"MOIRA","MOIRA","NORTH EASTERN REGION","RURAL_VICTORIA",-35.88462972,145.3551205,3641
"80","T20190006100",2527764.388,2371963.852,959,"2019/04/01 00:00:00+00","05.:0.00",1,2,"Struck Pedestrian","A","1",43,1,"Pedestrians","M","On SOUTH GIPPSLAND HIGHWAY 101m S from Int FACEY ROAD",343768,"N","N","Non Intersection",2580,"SOUTH GIPPSLAND","HIGHWAY","FACEY","ROAD","Declared Road","CASEY","METROPOLITAN SOUTH EAST REGION","Melbourne - South East",2527764.388,2371963.852,343768,"N",2527764.388,2371963.852,"CASEY","CASEY","METROPOLITAN SOUTH EAST REGION","RURAL_VICTORIA",-38.15327977,145.3167513,3978
"81","T20190006324",2508855.845,2408916.597,960,"2019/04/03 00:00:00+00","17.:5.00",2,1,"Collision with vehicle","A","B",26,4,"Motorcyclists","M","At Int of MONT ALBERT ROAD and YORK STREET",343864,"I","I","Intersection",9999,"MONT ALBERT","ROAD","YORK","STREET","Non Declared Road","BOROONDARA","METROPOLITAN SOUTH EAST REGION","Melbourne - Inner East",2508855.845,2408916.597,343864,"I",2508855.845,2408916.597,"BOROONDARA","BOROONDARA,WHITEHORSE","METROPOLITAN SOUTH EAST REGION","MELB_URBAN",-37.820734,145.1005872,3127
"82","T20190006333",2543432.912,2413833.615,961,"2019/04/04 00:00:00+00","05.:2.00",3,1,"Collision with vehicle","A","B",54,2,"Drivers","M","On WARBURTON HIGHWAY 98m W from Int PETERS ROAD",343889,"N","N","Non Intersection",2100,"WARBURTON","HIGHWAY","PETERS","ROAD","Declared Road","YARRA RANGES","METROPOLITAN SOUTH EAST REGION","Melbourne - Outer East",2543432.912,2413833.615,343889,"N",2543432.912,2413833.615,"YARRA RANGES","YARRA RANGES","METROPOLITAN SOUTH EAST REGION","RURAL_VICTORIA",-37.77545998,145.49303,3139
"83","T20190006333",2543432.912,2413833.615,961,"2019/04/04 00:00:00+00","05.:2.00",3,1,"Collision with vehicle","A","B",54,2,"Drivers","M","On WARBURTON HIGHWAY 98m W from Int PETERS ROAD",343889,"N","N","Non Intersection",2100,"WARBURTON","HIGHWAY","PETERS","ROAD","Declared Road","YARRA RANGES","METROPOLITAN SOUTH EAST REGION","Melbourne - Outer East",2543432.912,2413833.615,343889,"N",2543432.912,2413833.615,"YARRA RANGES","YARRA RANGES","METROPOLITAN SOUTH EAST REGION","SMALL_TOWNS",-37.77545998,145.49303,3139
"84","T20190006552",2689448.087,2577914.903,962,"2019/04/06 00:00:00+00","15.:2.00",1,4,"Collision with a fixed object","A","A",36,2,"Drivers","M","On SANDY CREEK ROAD 113m S from Int CEMETERY LANE",346462,"N","N","Non Intersection",9999,"SANDY CREEK","ROAD","CEMETERY","LANE","Non Declared Road","INDIGO","NORTH EASTERN REGION","Country",2689448.087,2577914.903,346462,"N",2689448.018,2577915.107,"INDIGO","INDIGO","NORTH EASTERN REGION","RURAL_VICTORIA",-36.27887766,147.108931,3695
"85","T20190006602",2519510.685,2392232.317,963,"2019/04/07 00:00:00+00","13.:0.00",1,2,"Struck Pedestrian","A","1",91,1,"Pedestrians","M","On HEATHERTON ROAD 108m E from Int INGRID STREET",346987,"N","N","Non Intersection",5970,"HEATHERTON","ROAD","INGRID","STREET","Declared Road","DANDENONG","METROPOLITAN SOUTH EAST REGION","Melbourne - South East",2519510.685,2392232.317,346987,"N",2519510.685,2392232.317,"DANDENONG","DANDENONG","METROPOLITAN SOUTH EAST REGION","MELB_URBAN",-37.97089189,145.2220496,3175
"86","T20190006612",2298034.625,2762357.716,964,"2019/04/07 00:00:00+00","16.:5.00",2,1,"Collision with vehicle","A","2",70,3,"Passengers","F","On MURRAY VALLEY HIGHWAY 90m SE from Int CRETE ROAD",344619,"N","N","Non Intersection",2570,"MURRAY VALLEY","HIGHWAY","CRETE","ROAD","Declared Road","SWAN HILL","NORTHERN REGION","Country",2298034.625,2762357.716,344619,"N",2298034.942,2762357.29,"SWAN HILL","SWAN HILL","NORTHERN REGION","RURAL_VICTORIA",-34.61475314,142.7992346,3549
"87","T20190006612",2298034.625,2762357.716,965,"2019/04/07 00:00:00+00","16.:5.00",2,1,"Collision with vehicle","A","3",5,3,"Passengers","F","On MURRAY VALLEY HIGHWAY 90m SE from Int CRETE ROAD",344619,"N","N","Non Intersection",2570,"MURRAY VALLEY","HIGHWAY","CRETE","ROAD","Declared Road","SWAN HILL","NORTHERN REGION","Country",2298034.625,2762357.716,344619,"N",2298034.942,2762357.29,"SWAN HILL","SWAN HILL","NORTHERN REGION","RURAL_VICTORIA",-34.61475314,142.7992346,3549
"88","T20190006633",2520861.333,2337529.347,966,"2019/04/08 00:00:00+00","05.:5.00",1,4,"Collision with a fixed object","A","1",27,3,"Passengers","M","At Int of VENTNOR ROAD and PHILLIP ISLAND ROAD",36276,"I","I","Intersection",4029,"VENTNOR","ROAD","PHILLIP ISLAND","ROAD","Declared Road","BASS COAST","EASTERN REGION","Country",2520861.333,2337529.347,36276,"I",2520861.333,2337529.347,"BASS COAST","BASS COAST","EASTERN REGION","RURAL_VICTORIA",-38.46364016,145.2389841,3922
"89","T20190006655",2510590.342,2373002.13,967,"2019/04/08 00:00:00+00","11.:1.00",1,2,"Struck Pedestrian","A","1",86,1,"Pedestrians","F","At Int of NEPEAN HIGHWAY and PLAYNE STREET",43444,"I","I","Intersection",2660,"NEPEAN","HIGHWAY","PLAYNE","STREET","Declared Road","FRANKSTON","METROPOLITAN SOUTH EAST REGION","Metro",2510590.342,2373002.13,43444,"I",2510590.342,2373002.13,"FRANKSTON","FRANKSTON","METROPOLITAN SOUTH EAST REGION","MELB_URBAN",-38.14428188,145.1208058,3199
"90","T20190006690",2497513.302,2454977.379,968,"2019/04/08 00:00:00+00","19.:1.00",2,6,"Vehicle overturned (no collision)","A","B",51,2,"Drivers","M","On DARRAWEIT ROAD 88m W from Int PRETTY SALLY DRIVE",343984,"N","N","Non Intersection",9999,"DARRAWEIT","ROAD","PRETTY SALLY","DRIVE","Non Declared Road","MITCHELL","NORTHERN REGION","Country",2497513.302,2454977.379,343984,"N",2497513.302,2454977.379,"MITCHELL","MITCHELL","NORTHERN REGION","TOWNS",-37.4057319,144.9719097,3756
"91","T20190006795",2579451.383,2325358.429,969,"2019/04/10 00:00:00+00","09.:3.00",1,4,"Collision with a fixed object","A","1",56,1,"Pedestrians","M","On WHITTINGHAM WAY 942m S from Int KOONWARRA-INVERLOCH ROAD",346484,"N","N","Non Intersection",9999,"WHITTINGHAM","WAY","KOONWARRA-INVERLOCH","ROAD","Non Declared Road","SOUTH GIPPSLAND","EASTERN REGION","Country",2579451.383,2325358.429,346484,"N",2579467.287,2325355.644,"SOUTH GIPPSLAND","SOUTH GIPPSLAND","EASTERN REGION","RURAL_VICTORIA",-38.57009386,145.911674,3954
"92","T20190006921",2486165.072,2347189.451,970,"2019/04/12 00:00:00+00","01.:1.00",1,4,"Collision with a fixed object","A","1",17,3,"Passengers","M","At Int of FIELD STREET and MARSHALL STREET",45973,"I","I","Intersection",9999,"FIELD","STREET","MARSHALL","STREET","Non Declared Road","MORNINGTON PENINSULA","METROPOLITAN SOUTH EAST REGION","Metro",2486165.072,2347189.451,45973,"I",2486165.072,2347189.451,"MORNINGTON PENINSULA","MORNINGTON PENINSULA","METROPOLITAN SOUTH EAST REGION","MELB_URBAN",-38.37676143,144.8416931,3941
"93","T20190006944",2492545.793,2421945.118,971,"2019/04/12 00:00:00+00","06.:2.00",3,1,"Collision with vehicle","A","B",50,2,"Drivers","M","At Int of PASCOE VALE ROAD and FINCHLEY AVENUE",40981,"I","I","Intersection",5819,"PASCOE VALE","ROAD","FINCHLEY","AVENUE","Declared Road","MORELAND","METROPOLITAN NORTH WEST REGION","Melbourne - North West",2492545.793,2421945.118,40981,"I",2492545.793,2421945.118,"MORELAND","MORELAND","METROPOLITAN NORTH WEST REGION","MELB_URBAN",-37.70335632,144.9154644,3046
"94","T20190007113",2406110.39,2585507.709,972,"2019/04/14 00:00:00+00","13.:1.00",2,1,"Collision with vehicle","A","A",75,2,"Drivers","F","On LODDON VALLEY HIGHWAY 1551m S from Int BOORT-MITIAMO ROAD",344200,"N","N","Non Intersection",2630,"LODDON VALLEY","HIGHWAY","BOORT-MITIAMO","ROAD","Declared Road","LODDON","NORTHERN REGION","Bendigo",2406110.39,2585507.709,344200,"N",2406110.39,2585507.709,"LODDON","LODDON","NORTHERN REGION","RURAL_VICTORIA",-36.22471996,143.9556213,3517
"95","T20190007191",2499508.416,2412066.474,973,"2019/04/15 00:00:00+00","20.:1.00",3,1,"Collision with vehicle","A","A",24,4,"Motorcyclists","M","At Int of HODDLE STREET and SOUTH TERRACE",35342,"I","I","Intersection",5850,"HODDLE","STREET","SOUTH","TERRACE","Declared Road","YARRA","METROPOLITAN NORTH WEST REGION","Melbourne - Inner",2499508.416,2412066.474,35342,"I",2499508.416,2412066.474,"YARRA","YARRA","METROPOLITAN NORTH WEST REGION","MELB_URBAN",-37.79239541,144.9944185,3068
"96","T20190007260",2484953.933,2345021.153,974,"2019/04/16 00:00:00+00","16.:3.00",1,4,"Collision with a fixed object","A","A",38,2,"Drivers","M","On BROWNS ROAD 312m SW from Int WEEROONA STREET",345664,"N","N","Non Intersection",9999,"BROWNS","ROAD","WEEROONA","STREET","Non Declared Road","MORNINGTON PENINSULA","METROPOLITAN SOUTH EAST REGION","Metro",2484953.933,2345021.153,345664,"N",2484954.082,2345021.144,"MORNINGTON PENINSULA","MORNINGTON PENINSULA","METROPOLITAN SOUTH EAST REGION","RURAL_VICTORIA",-38.39627335,144.8277915,3941
